2025-04-23 08:35:05 | INFO | __main__ : main:35 | ------------------------------start------------------------------
2025-04-23 08:35:05 | INFO | enu.enviroment : enviroment:40 | 串口通讯当前项目的工作路径为：D:\WorkSpace\pythonProjectAnimal_message
2025-04-23 08:35:05 | INFO | enu.enviroment : enviroment:52 | 串口通讯-已存在环境变量HOST_COMPUTER_DATA_STORAGE_LOC
2025-04-23 08:35:05 | INFO | communication.communication_root : communication_root:30 | communication_root通讯配置文件读取成功。
2025-04-23 08:35:05 | INFO | communication.util.folder_util : folder_util:28 | 目录 './data/port_COM3/' 创建成功或已存在。
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:148 | communication_com_communication通讯配置文件读取成功。
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:175 | receive串口COM3连接--当前可用端口:['COM5', 'COM3']
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:210 | receive串口COM3连接成功
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:148 | communication_com_communication通讯配置文件读取成功。
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:175 | send串口COM5连接--当前可用端口:['COM5', 'COM3']
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:210 | send串口COM5连接成功
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:42 | communication_com_store_data通讯配置文件读取成功。
2025-04-23 08:35:05 | INFO | __main__ : main:17 | start serial port communication!
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:271 | receive串口COM3开始接收数据
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:254 | send串口COM5开始发送数据
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:58 | 存储数据线程开始工作
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:260 | send串口COM5发送数据: 22.888148285227274
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:288 | receive串口COM3接收数据: 22.888148285227274
2025-04-23 08:35:05 | INFO | communication.communication_com : communication_com:99 | 存储数据线程开始存储数据: 22.888148285227274
2025-04-23 08:35:05 | INFO | communication.util.folder_util : folder_util:48 | 文件 './data/port_COM3/2025/17week/3.txt' 成功创建或写入。
2025-04-23 08:35:06 | INFO | communication.communication_com : communication_com:260 | send串口COM5发送数据: 11.34784317008588
2025-04-23 08:35:06 | INFO | communication.communication_com : communication_com:288 | receive串口COM3接收数据: 11.34784317008588
2025-04-23 08:35:06 | INFO | communication.communication_com : communication_com:99 | 存储数据线程开始存储数据: 11.34784317008588
2025-04-23 08:35:06 | INFO | communication.util.folder_util : folder_util:48 | 文件 './data/port_COM3/2025/17week/3.txt' 成功创建或写入。
2025-04-23 08:35:07 | INFO | communication.communication_com : communication_com:260 | send串口COM5发送数据: -31.074714444128304
2025-04-23 08:35:08 | INFO | communication.communication_com : communication_com:288 | receive串口COM3接收数据: -31.074714444128304
2025-04-23 08:35:08 | INFO | communication.communication_com : communication_com:99 | 存储数据线程开始存储数据: -31.074714444128304
2025-04-23 08:35:08 | INFO | communication.util.folder_util : folder_util:48 | 文件 './data/port_COM3/2025/17week/3.txt' 成功创建或写入。
2025-04-23 08:35:08 | INFO | communication.communication_com : communication_com:260 | send串口COM5发送数据: 0.5018163436730845
