2025-04-21 08:34:21 | INFO | __main__ : main:26 | ------------------------------start------------------------------
2025-04-21 08:34:21 | INFO | communication.communication_root : communication_root:30 | communication_root通讯配置文件读取成功。
2025-04-21 08:34:21 | INFO | communication.util.folder_util : folder_util:28 | 目录 './data/COM3/' 创建成功或已存在。
2025-04-21 08:34:21 | INFO | communication.communication_com : communication_com:147 | communication_com_communication通讯配置文件读取成功。
2025-04-21 08:34:21 | ERROR | communication.communication_com : communication_com:167 | receive串口COM3连接--当前设备无可用的端口
2025-04-21 08:34:21 | ERROR | communication.communication_com : communication_com:191 | receive串口COM3连接--当前设备所设置端口COM3错误！
2025-04-21 08:34:21 | ERROR | communication.communication_com : communication_com:193 | receive串口COM3实例化失败！
2025-04-21 08:34:21 | INFO | communication.communication_com : communication_com:147 | communication_com_communication通讯配置文件读取成功。
2025-04-21 08:34:21 | ERROR | communication.communication_com : communication_com:167 | send串口COM5连接--当前设备无可用的端口
2025-04-21 08:34:21 | ERROR | communication.communication_com : communication_com:191 | send串口COM5连接--当前设备所设置端口COM5错误！
2025-04-21 08:34:21 | ERROR | communication.communication_com : communication_com:193 | send串口COM5实例化失败！
2025-04-21 08:34:21 | INFO | communication.communication_com : communication_com:41 | communication_com_store_data通讯配置文件读取成功。
2025-04-21 08:34:21 | INFO | __main__ : main:15 | start serial port communication!
2025-04-21 08:34:21 | INFO | communication.communication_com : communication_com:57 | 存储数据线程开始工作
2025-04-21 08:35:33 | INFO | __main__ : main:26 | ------------------------------start------------------------------
2025-04-21 08:35:33 | INFO | communication.communication_root : communication_root:30 | communication_root通讯配置文件读取成功。
2025-04-21 08:35:33 | INFO | communication.util.folder_util : folder_util:28 | 目录 './data/COM3/' 创建成功或已存在。
2025-04-21 08:35:33 | INFO | communication.communication_com : communication_com:147 | communication_com_communication通讯配置文件读取成功。
2025-04-21 08:35:34 | ERROR | communication.communication_com : communication_com:167 | receive串口COM3连接--当前设备无可用的端口
2025-04-21 08:35:34 | ERROR | communication.communication_com : communication_com:191 | receive串口COM3连接--当前设备所设置端口COM3错误！
2025-04-21 08:35:34 | ERROR | communication.communication_com : communication_com:193 | receive串口COM3实例化失败！
2025-04-21 08:35:34 | INFO | communication.communication_com : communication_com:147 | communication_com_communication通讯配置文件读取成功。
2025-04-21 08:35:34 | ERROR | communication.communication_com : communication_com:167 | send串口COM5连接--当前设备无可用的端口
2025-04-21 08:35:34 | ERROR | communication.communication_com : communication_com:191 | send串口COM5连接--当前设备所设置端口COM5错误！
2025-04-21 08:35:34 | ERROR | communication.communication_com : communication_com:193 | send串口COM5实例化失败！
2025-04-21 08:35:34 | INFO | communication.communication_com : communication_com:41 | communication_com_store_data通讯配置文件读取成功。
2025-04-21 08:35:34 | INFO | __main__ : main:15 | start serial port communication!
2025-04-21 08:35:34 | INFO | communication.communication_com : communication_com:57 | 存储数据线程开始工作
2025-04-21 08:50:19 | INFO | __main__ : main:27 | ------------------------------start------------------------------
2025-04-21 08:50:19 | INFO | communication.communication_root : communication_root:30 | communication_root通讯配置文件读取成功。
2025-04-21 08:50:19 | INFO | communication.util.folder_util : folder_util:28 | 目录 './data/COM3/' 创建成功或已存在。
2025-04-21 08:50:19 | INFO | communication.communication_com : communication_com:147 | communication_com_communication通讯配置文件读取成功。
2025-04-21 08:50:19 | ERROR | communication.communication_com : communication_com:167 | receive串口COM3连接--当前设备无可用的端口
2025-04-21 08:50:19 | ERROR | communication.communication_com : communication_com:191 | receive串口COM3连接--当前设备所设置端口COM3错误！
2025-04-21 08:50:19 | ERROR | communication.communication_com : communication_com:193 | receive串口COM3实例化失败！
2025-04-21 08:50:19 | INFO | communication.communication_com : communication_com:147 | communication_com_communication通讯配置文件读取成功。
2025-04-21 08:50:19 | ERROR | communication.communication_com : communication_com:167 | send串口COM5连接--当前设备无可用的端口
2025-04-21 08:50:19 | ERROR | communication.communication_com : communication_com:191 | send串口COM5连接--当前设备所设置端口COM5错误！
2025-04-21 08:50:19 | ERROR | communication.communication_com : communication_com:193 | send串口COM5实例化失败！
2025-04-21 08:50:19 | INFO | communication.communication_com : communication_com:41 | communication_com_store_data通讯配置文件读取成功。
2025-04-21 08:50:19 | INFO | __main__ : main:16 | start serial port communication!
2025-04-21 08:50:19 | INFO | communication.communication_com : communication_com:57 | 存储数据线程开始工作
2025-04-21 08:56:37 | INFO | __main__ : main:27 | ------------------------------start------------------------------
